filename|id|source-name|source-partition-id|ref-type|ref-scope|text|context|alias|partition|doc-type|authority|region|city|detached-city|section|ministry|other-authority|eu-acronym|number|year|full-number|case-number|area|doc-date|deposit-date|notification-date|publication-date|applicant|defendant|ro-number|rv-number|gu-series|url|cited-doc-simple-id|cited-art-simple-id|cited-comma-simple-id
Sentenza_U91_5452_2021.json|21|||legislation|nazionale|art. 24 della legge 4/29|art. 24 della legge 4/29||articolo-24|L|||||||||4|1929|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1929;4~art24|legge:1929;4|legge:1929;4_articolo-24|
Sentenza_U91_5452_2021.json|22|||legislation|nazionale|art. 19 decreto legislativo 546/92|art. 19 decreto legislativo 546/92||articolo-19|DLGS|||||||||546|1992|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;546~art19|decreto.legislativo:1992;546|decreto.legislativo:1992;546_articolo-19|
Sentenza_U93_56_2022.json|1|||caselaw|nazionale|Sentenza n. 56/2022 Depositato il 18/01/2022|Sentenza n. 56/2022 Depositato il 18/01/2022|||SENT|COMM_TRIBUT_PROV||VT||01||||56|2022|||||2022-01-18|||||||||||
Sentenza_U93_56_2022.json|2|||legislation|nazionale|art.77 dpr 602/73|dell'art.77 dpr 602/73||articolo-77|DECR|PRES_REP||||||||602|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;602~art77|presidente.repubblica:decreto:1973;602|presidente.repubblica:decreto:1973;602_articolo-77|
Sentenza_U93_56_2022.json|3|||legislation|nazionale|art.77 comma 2 dpr 602/73|art.77 comma 2 dpr 602/73||articolo-77_comma-2|DECR|PRES_REP||||||||602|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;602~art77-comma2|presidente.repubblica:decreto:1973;602|presidente.repubblica:decreto:1973;602_articolo-77|presidente.repubblica:decreto:1973;602_articolo-77_comma-2
Sentenza_U93_56_2022.json|4|||legislation|nazionale|art.50 comma 3 dpr 602/73|art.50 comma 3 dpr 602/73||articolo-50_comma-3|DECR|PRES_REP||||||||602|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;602~art50-comma3|presidente.repubblica:decreto:1973;602|presidente.repubblica:decreto:1973;602_articolo-50|presidente.repubblica:decreto:1973;602_articolo-50_comma-3
Sentenza_U93_56_2022.json|5|||legislation|nazionale|art.2808 cc|art.2808 cc|COD_CIV|articolo-2808||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:regio.decreto:1942-03-16;262:2~art2808|COD_CIV|COD_CIV_articolo-2808|
Sentenza_U93_56_2022.json|6|||legislation|nazionale|art.77 del dpr 602/73|art.77 del dpr 602/73||articolo-77|DECR|PRES_REP||||||||602|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;602~art77|presidente.repubblica:decreto:1973;602|presidente.repubblica:decreto:1973;602_articolo-77|
Sentenza_V06_822_2023.json|1|||caselaw|nazionale|2017 Sentenza n. 822/2023 Depositato il 15/09/2023|2017 Sentenza n. 822/2023 Depositato il 15/09/2023|||SENT|||||||||822|2017|||||2023-09-15|||||||||||
Sentenza_V06_822_2023.json|2|||legislation|nazionale|art. 15 del dlgs 546/92|art. 15 del dlgs 546/92||articolo-15|DLGS|||||||||546|1992|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;546~art15|decreto.legislativo:1992;546|decreto.legislativo:1992;546_articolo-15|
